Datetime,Electric,Gas,Water,temp,dew_point,pressure,humidity,wind_speed
2010-02-02,101.61397916666664,139.38664583333335,0.1023125,4.377916666666667,3.25625,1005.2916666666666,92.45833333333333,5.82375
2010-02-03,98.845,182.338125,0.37525,1.3800000000000001,0.42375,1007.625,93.33333333333333,2.9437499999999996
2010-02-04,97.89760416666668,152.26458333333332,0.4283125,5.105833333333334,4.458333333333333,1004.3333333333334,95.66666666666667,4.3500000000000005
2010-02-05,87.71833333333332,134.71920833333334,0.3770416666666666,6.210416666666667,5.02625,999.625,92.33333333333333,3.5404166666666668
2010-02-06,55.565125,135.3396875,0.0895416666666666,3.0391666666666666,2.714166666666667,1015.2083333333334,97.75,3.3329166666666663
2010-02-07,52.8998125,148.6969791666667,0.0626666666666666,3.3000000000000003,2.7591666666666668,1023.75,96.29166666666667,2.39875
2010-02-08,93.7658125,202.67033333333333,0.4365208333333333,1.7175,0.35375,1015.1666666666666,90.5,5.585416666666667
2010-02-09,98.152875,176.42147916666667,0.4169166666666666,2.0900000000000003,0.45249999999999996,1014.0833333333334,89.04166666666667,4.91375
2010-02-10,97.28941666666668,196.844375,0.3758125,0.8187500000000001,-0.9441666666666667,1019.0833333333334,87.45833333333333,5.2775
2010-02-11,100.9095,181.86997916666667,0.4225208333333333,1.0529166666666667,-1.8083333333333333,1023.9583333333334,80.41666666666667,4.9825
2010-02-12,93.3696875,159.0084375,0.2990625,2.904166666666667,1.3325,1024.7916666666667,89.41666666666667,4.72
2010-02-13,55.444375,142.79741666666666,0.0372708333333333,2.3766666666666665,0.46875,1024.3333333333333,87.16666666666667,4.4174999999999995
2010-02-14,55.56577083333334,150.79266666666666,0.020625,2.983333333333333,1.74875,1017.375,91.79166666666667,3.1508333333333334
2010-02-15,101.4071875,186.1955625,0.386875,2.716666666666667,1.9404166666666667,1005.2083333333334,94.70833333333333,2.9479166666666665
2010-02-16,100.36391666666668,165.756625,0.3998124999999999,3.56,2.3495833333333334,992.2916666666666,92.04166666666667,3.0870833333333336
2010-02-17,99.54739583333333,179.17381250000005,0.3664791666666667,1.8099999999999998,1.0208333333333333,991.4166666666666,94.625,2.1145833333333335
2010-02-18,101.95408333333334,181.17925,0.3822291666666667,1.3108333333333333,0.9816666666666666,991.1666666666666,97.66666666666667,3.7112499999999997
2010-02-19,95.82741666666668,196.93725,0.3106041666666667,1.2079166666666667,-0.05208333333333332,993.6666666666666,91.375,3.8033333333333332
2010-02-20,74.04045833333333,222.3688125,0.1122916666666666,0.6866666666666666,-0.9779166666666667,997.0833333333334,88.75,2.192083333333333
2010-02-21,65.44658333333334,240.2325833333333,0.0503333333333333,1.0833333333333333,-0.18874999999999997,992.5416666666666,91.04166666666667,3.1795833333333334
2010-02-22,105.60327083333334,216.7783333333333,0.424125,0.9091666666666667,-0.96625,988.9166666666666,87.125,4.8175
2010-02-23,105.86204166666666,198.1202291666667,0.4917083333333333,1.4649999999999999,-0.3283333333333333,993.625,87.75,5.27875
2010-02-24,100.43114583333332,145.72166666666666,0.4591458333333333,5.591666666666668,4.8825,990.0833333333334,95.375,3.3041666666666667
2010-02-25,100.136375,129.9246875,0.44525,6.60125,5.710833333333333,986.9583333333334,94.29166666666667,3.1
2010-02-26,95.38460416666668,171.5880625,0.3364375,4.560416666666667,2.689583333333333,987.6666666666666,88.08333333333333,7.185833333333334
2010-02-27,68.07960416666667,173.30779166666665,0.11325,4.1762500000000005,3.547916666666667,992.6666666666666,95.70833333333333,2.422083333333333
2010-02-28,63.61904166666667,194.90054166666667,0.0789166666666666,4.0200000000000005,2.160833333333333,991.0,88.25,5.647916666666667
2010-03-01,95.43160416666666,154.0284375,0.3969583333333333,3.4250000000000003,0.05791666666666665,1010.5,79.54166666666667,2.782916666666667
2010-03-02,95.60510416666666,150.14985416666667,0.3993541666666667,2.527083333333333,-0.6325,1022.875,80.70833333333333,2.3454166666666665
2010-03-03,95.47129166666669,176.05364583333335,0.4695416666666667,2.1220833333333333,-0.5995833333333334,1022.5833333333334,82.125,4.412083333333333
2010-03-04,97.52927083333331,166.36664583333334,0.5392291666666666,2.285416666666667,-0.85875,1026.3333333333333,80.5,3.6179166666666664
2010-03-05,91.73864583333334,151.0945,0.3484166666666666,3.0354166666666664,0.13375,1029.6666666666667,81.875,4.144166666666666
2010-03-06,67.14033333333333,166.747375,0.0848333333333333,2.952916666666667,-0.002500000000000021,1028.875,81.08333333333333,3.764583333333334
2010-03-07,63.4794375,184.5990833333333,0.0617916666666666,-0.48583333333333334,-4.261666666666667,1034.7083333333333,75.25,2.775
2010-03-08,95.36985416666666,167.69341666666665,0.4343125,0.9037499999999999,-3.0308333333333333,1031.9166666666667,75.29166666666667,3.1458333333333335
2010-03-09,94.66941666666668,158.2626875,0.4260833333333333,4.70125,1.7670833333333331,1031.4166666666667,82.16666666666667,4.266666666666667
2010-03-10,92.28164583333334,149.946375,0.3712083333333333,3.93375,0.8683333333333333,1031.0833333333333,80.58333333333333,4.595833333333333
2010-03-11,95.55452083333334,176.0872916666667,0.441875,2.5933333333333333,-0.52375,1026.0416666666667,80.5,2.732083333333333
2010-03-12,90.69766666666668,159.25202083333332,0.3194583333333333,5.4425,3.127083333333333,1022.9166666666666,85.08333333333333,4.8225
2010-03-13,54.17414583333333,98.6955,0.0408125,5.622083333333333,2.4604166666666667,1030.1666666666667,80.54166666666667,4.0408333333333335
2010-03-14,51.875145833333335,97.01247916666668,0.036,7.04375,3.145,1028.5,77.125,6.030833333333334
