Datetime,Electric,Water,Gas,temp,dew_point,pressure,humidity,wind_speed
2017-01-10,3311.82,10.365,4119.781,6.687083333333334,4.64375,1009.375,86.875,5.460416666666667
2017-01-11,3134.96,9.27,4097.455,7.7075,3.1495833333333336,1008.9583333333334,73.45833333333333,7.5370833333333325
2017-01-12,3329.56,12.606,4231.426,3.422083333333333,1.64625,1003.9166666666666,88.29166666666667,5.704166666666667
2017-01-13,3119.14,11.803,4745.003,2.0749999999999997,-0.5033333333333333,1008.75,82.75,7.416666666666667
2017-01-14,1916.06,1.119,212.135,2.5225,0.9812500000000001,1019.6666666666666,89.5,5.051666666666667
2017-01-15,1904.8,1.093,212.134,6.552083333333333,6.101666666666667,1022.0416666666666,96.95833333333333,4.25875
2017-01-16,3554.27,10.045,5459.548,6.055833333333333,5.633333333333333,1027.25,97.125,2.1708333333333334
2017-01-17,3776.14,10.537,4477.056,4.375,2.7954166666666667,1035.125,89.625,2.8083333333333336
2017-01-18,3642.71,9.41,4130.948,4.623333333333333,3.064583333333333,1037.6666666666667,89.625,2.245416666666667
2017-01-19,3505.1,10.019,3684.356,5.702916666666667,5.126666666666667,1037.2083333333333,96.125,1.3191666666666666
2017-01-20,3415.31,9.719,3706.684,2.3545833333333333,0.1370833333333333,1034.3333333333333,85.45833333333333,2.89125
2017-01-21,2150.56,1.628,212.135,1.6054166666666667,0.525,1028.5,92.45833333333333,3.4258333333333333
2017-01-22,1899.1,1.322,234.465,1.0866666666666667,-0.18416666666666667,1026.1666666666667,90.83333333333333,2.7737499999999997
2017-01-23,3338.73,10.576,5694.006,2.8354166666666667,2.0820833333333333,1027.3333333333333,94.83333333333333,1.9583333333333333
2017-01-24,3312.2,10.651,4678.014,2.2266666666666666,1.2883333333333333,1026.7083333333333,93.5,3.0225000000000004
2017-01-25,3437.63,9.401,4465.89,2.6095833333333336,2.0875,1026.2916666666667,96.375,3.924583333333333
2017-01-26,3628.881,10.418,4823.157,-0.7620833333333333,-1.78875,1019.125,91.91666666666667,4.8325000000000005
2017-01-27,3408.41,11.059,4443.557,0.42458333333333337,-0.40458333333333335,1010.125,93.875,4.552083333333333
2017-01-28,2265.81,7.97,212.135,5.065,3.7729166666666667,1008.125,91.5,4.66375
2017-01-29,2207.01,7.62,223.3,4.049166666666666,3.5795833333333333,1010.3333333333334,96.75,3.74875
2017-01-30,3659.63,14.647,5526.536,5.526666666666667,4.758333333333334,1010.75,94.875,3.0054166666666666
2017-01-31,3659.13,14.259,4711.511,6.126666666666666,5.705416666666667,1011.0416666666666,97.125,5.871666666666666
2017-02-01,3272.13,18.589,4052.793,9.084999999999999,8.38875,1004.5,95.5,4.92375
2017-02-02,3164.33,18.623,3796.003,10.55125,8.865416666666667,993.6666666666666,89.41666666666667,8.162916666666666
2017-02-03,2991.89,17.173000000000002,3617.369,7.770833333333333,5.435416666666666,992.3333333333334,85.33333333333333,6.772083333333334
2017-02-04,1737.98,13.812,547.072,3.8504166666666664,1.995,995.8333333333334,88.16666666666667,3.6875
2017-02-05,1775.45,11.991,491.248,3.5404166666666668,2.6683333333333334,1004.2083333333334,94.125,2.611666666666667
2017-02-06,3199.37,12.463,5504.206,2.3733333333333335,1.3320833333333333,1016.0,93.08333333333333,3.7887500000000003
2017-02-07,3209.43,11.114,4298.421,6.000416666666666,4.5925,1013.7083333333334,91.125,3.016666666666667
2017-02-08,3190.43,9.537,4119.783,3.473333333333333,2.3154166666666667,1026.875,92.25,2.660833333333333
2017-02-09,3377.51,9.566,4242.598,1.1266666666666667,-0.785,1028.75,86.54166666666667,3.3125
2017-02-10,3141.24,8.103,4019.302,1.175,0.04541666666666668,1025.5833333333333,92.125,4.132916666666667
2017-02-11,1697.51,10.377,223.299,1.4291666666666665,0.7979166666666666,1024.25,95.54166666666667,5.242916666666667
2017-02-12,1901.68,0.841,234.465,2.4908333333333332,1.7533333333333332,1024.375,94.875,6.7316666666666665
2017-02-13,3072.82,9.564,5336.736,4.24875,2.3675,1023.5,88.04166666666667,7.159583333333333
2017-02-14,3164.94,9.73,4499.385,4.85125,2.94875,1023.3333333333334,87.66666666666667,4.473333333333334
2017-02-15,3190.94,8.964,3907.652,8.329166666666667,7.423333333333333,1026.125,94.04166666666667,4.147083333333334
2017-02-16,3104.88,12.589,3885.324,7.6883333333333335,5.7250000000000005,1027.5833333333333,87.625,4.9075
2017-02-17,2947.8,12.692,3461.062,8.369583333333333,6.49625,1026.7916666666667,88.25,2.785
2017-02-18,2090.4,3.555,2489.731,6.82375,5.445,1023.625,91.125,4.3925
