Datetime,Electric,Gas,Water
2008-03-03,50.036833333333334,187.2830625,0.2559791666666667
2008-03-04,79.14639583333333,152.28485416666666,0.2521875
2008-03-05,80.72502083333333,151.04839583333333,0.24997916666666667
2008-03-06,79.15575,102.27752083333333,0.24868749999999998
2008-03-07,77.8951875,102.19822916666668,0.23989583333333334
2008-03-08,52.47020833333334,0.031,0.142
2008-03-09,51.22391666666667,0.06856250000000001,0.14166666666666666
2008-03-10,80.86625,114.40147916666666,0.2572083333333333
2008-03-11,80.28308333333334,116.65329166666668,0.2578125
2008-03-12,79.18664583333333,155.13422916666667,0.26233333333333336
2008-03-13,79.03691666666667,125.98733333333332,0.24645833333333333
2008-03-14,76.5505625,100.25529166666666,0.23085416666666667
2008-03-15,49.200041666666664,0.028,0.1385625
2008-03-16,46.58379166666666,0.028,0.13754166666666667
2008-03-17,71.75347916666666,171.84135416666666,0.20502083333333332
2008-03-18,71.84070833333332,140.605375,0.20881249999999998
2008-03-19,71.41270833333333,135.35575,0.19866666666666666
2008-03-20,70.6285,125.336125,0.20364583333333333
2008-03-21,48.30879166666667,1.15025,0.13654166666666667
2008-03-22,46.447,10.942562500000001,0.13627083333333334
2008-03-23,46.79291666666666,22.43647916666667,0.13547916666666668
2008-03-24,50.76808333333333,20.764395833333335,0.13420833333333335
2008-03-25,51.006708333333336,12.748270833333335,0.13754166666666667
2008-03-26,70.00970833333334,215.19685416666667,0.1991875
2008-03-27,68.3165,146.66235416666666,0.19822916666666668
2008-03-28,65.13295833333333,134.423875,0.18077083333333333
2008-03-29,48.020833333333336,2.817,0.13902083333333334
2008-03-30,46.70429166666667,2.817,0.14093750000000002
2008-03-31,68.75779166666666,144.0056875,0.20352083333333335
2008-04-01,69.43491666666667,101.24733333333334,0.20785416666666667
2008-04-02,72.02447916666667,101.16056250000001,0.2151875
2008-04-03,72.57839583333333,72.93216666666667,0.21277083333333335
2008-04-04,69.65716666666667,58.41647916666667,0.21758333333333335
2008-04-05,47.613625000000006,1.367,0.13558333333333333
2008-04-06,47.205000000000005,6.000958333333333,0.1358541666666667
2008-04-07,77.89552083333334,181.5819375,0.25470833333333337
2008-04-08,79.32977083333334,140.6605625,0.25264583333333335
2008-04-09,79.49952083333334,135.30435416666668,0.25054166666666666
2008-04-10,81.03281249999999,108.48564583333332,0.2430625
2008-04-11,79.53860416666667,108.95952083333333,0.22810416666666666
2008-04-12,49.203624999999995,0.06,0.13616666666666669
2008-04-13,48.3265,0.06,0.1338125
2008-04-14,79.90593750000001,170.26854166666666,0.2424375
2008-04-15,79.15181249999999,144.916,0.2470416666666667
2008-04-16,80.26729166666667,124.9271875,0.25245833333333334
2008-04-17,78.98722916666667,116.78410416666667,0.24989583333333334
2008-04-18,78.7398125,116.40483333333333,0.22529166666666667
2008-04-19,52.40627083333334,0.141,0.134875
2008-04-20,52.07747916666667,0.141,0.5298541666666666
2008-04-21,81.143125,120.41510416666667,0.2518125
2008-04-22,80.42458333333333,66.40154166666666,0.24397916666666666
2008-04-23,81.1158125,68.86939583333334,0.2514166666666667
2008-04-24,80.03725,89.12935416666666,0.24456250000000002
2008-04-25,77.42760416666667,72.59564583333334,0.214
2008-04-26,52.762062500000006,0.4789999999999999,0.120625
2008-04-27,52.28404166666667,0.4789999999999999,0.1196875
2008-04-28,74.49172916666667,94.66425,0.2295208333333333
2008-04-29,74.47160416666667,93.57839583333333,0.23097916666666665
2008-04-30,76.34729166666666,100.2834375,0.22135416666666666
2008-05-01,76.5956875,75.76364583333334,0.2306666666666667
2008-05-02,75.304875,68.44031249999999,0.23006250000000003
2008-05-03,51.617395833333326,2.85,0.16966666666666666
2008-05-04,50.72154166666667,2.85,0.17637499999999998
2008-05-05,59.680437500000004,31.284166666666668,0.16554166666666667
2008-05-06,74.01089583333334,30.916416666666667,0.21897916666666664
2008-05-07,74.09660416666667,27.868854166666665,0.20370833333333335
2008-05-08,73.69854166666667,27.723270833333334,0.21064583333333334
2008-05-09,72.72166666666666,1.2307708333333334,0.20258333333333334
2008-05-10,58.21872916666666,0.05000000000000001,0.146375
2008-05-11,56.11841666666667,0.05000000000000001,0.1195625
2008-05-12,76.22072916666666,1.2660833333333332,0.2089791666666667
2008-05-13,74.67922916666667,1.211875,0.20447916666666666
2008-05-14,75.80595833333334,1.4832916666666665,0.21585416666666668
2008-05-15,75.05608333333333,1.3493333333333333,0.225375
2008-05-16,75.157875,1.4852291666666666,0.20402083333333335
2008-05-17,56.0550625,0.025000000000000005,0.11702083333333334
2008-05-18,55.32895833333333,0.025000000000000005,0.11589583333333332
2008-05-19,76.11320833333333,1.6804375,0.19845833333333332
2008-05-20,76.22097916666667,5.422291666666666,0.1903125
2008-05-21,72.10864583333334,95.94745833333333,0.1887291666666667
2008-05-22,71.651875,1.5118541666666667,0.178625
2008-05-23,70.12647916666667,1.3546875,0.18635416666666668
2008-05-24,49.01679166666667,0.025000000000000005,0.11279166666666667
2008-05-25,47.71872916666666,0.025000000000000005,0.1133125
2008-05-26,54.390395833333336,1.6174166666666665,0.11164583333333333
2008-05-27,52.803020833333335,1.4474375000000002,0.1133125
2008-05-28,70.80935416666667,91.99479166666667,0.17810416666666665
2008-05-29,69.04589583333333,77.47122916666667,0.16585416666666666
2008-05-30,69.17664583333332,79.04112500000001,0.1603125
2008-05-31,52.02879166666667,1.268,0.11045833333333333
2008-06-01,50.684104166666664,1.268,0.1079375
2008-06-02,73.94747916666667,74.94595833333334,0.155375
2008-06-03,72.82408333333333,28.594291666666667,0.14575
