Date,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
2/9/2010,122.656,117.598,116.495,117.632,119.835,129.993,129.993,149.207,172.849,172.849,172.849,172.849,172.849,195.31,212.744,230.575,287.86,307.126,276.099,260.221,258.672,244.114,246.509,229.108,218.03,211.755,221.724,209.361,178.188,168.4,146.364,143.742,146.138,138.727,144.885,149.855,160.987,168.776,171.038,171.038,159.461,164.708,179.613,147.484,112.744,110.198,117.582,111.441
2/10/2010,116.575,107.863,84.254,97.729,117.731,111.478,106.552,110.192,107.878,103.914,152.13,194.422,224.99,236.826,207.102,232.33,272.809,295.199,304.193,271.422,262.037,254.636,254.88,272.456,273.984,277.292,265.506,234.104,224.337,226.485,259.869,244.398,195.797,199.483,211.793,211.86,211.808,206.937,205.566,206.954,200.646,205.56,202.022,179.797,147.986,122.626,117.779,116.343
2/11/2010,117.791,116.302,117.824,111.478,116.296,127.481,148.243,167.205,152.799,167.492,197.353,188.035,195.85,199.113,207.053,215.074,277.295,315.312,285.046,269.085,246.872,253.273,249.943,221.437,229.319,227.722,229.378,218.177,192.41,167.043,162.714,160.944,162.594,156.07,170.349,184.795,178.366,178.351,178.408,173.611,167.204,167.258,167.218,152.969,119.571,95.609,103.411,122.616
2/12/2010,117.917,102.006,93.908,100.355,95.601,89.176,89.204,89.183,93.896,109.795,155.322,177.076,145.283,182.615,215.254,194.267,228.894,258.123,259.417,250.502,211.792,216.243,208.824,194.554,200.709,195.975,194.181,196.026,180.153,157.85,158.988,169.036,156.064,156.082,165.407,170.576,159.824,159.824,159.7,159.529,159.529,152.066,141.449,141.449,124.28,95.676,93.85,104.975
2/13/2010,116.109,108.736,98.458,106.835,100.355,100.331,114.204,119.924,165.021,237.883,198.065,178.367,178.35,178.408,178.367,178.35,178.408,178.367,173.747,171.86,182.967,180.037,167.141,163.009,151.466,149.547,160.659,167.203,157.315,143.072,143.072,143.072,143.072,143.072,120.986,93.753,114.018,124.675,111.505,106.917,104.881,111.505,116.037,118.062,125.164,131.272,106.786,113.866
2/14/2010,129.496,136.237,133.403,109.408,127.15,129.272,127.16,138.29,126.843,150.116,213.892,205.231,198.253,191.897,207.344,196.151,189.496,189.262,180.41,172.015,173.874,167.369,167.22,171.7,178.408,169.378,165.038,164.935,158.39,173.864,158.288,149.407,160.534,144.715,106.952,100.522,104.827,107.01,109.254,118.189,115.971,122.628,118.155,115.965,136.002,156.055,147.199,124.873
2/15/2010,124.811,131.613,111.406,120.291,129.499,113.75,109.192,140.176,202.389,234.746,196.28,189.517,193.918,200.709,200.665,218.309,258.562,291.739,290.003,256.496,256.285,274.339,283.446,247.397,233.971,230.078,222.961,222.935,209.834,189.559,185.128,178.154,180.364,184.188,177.538,171.637,173.992,175.948,189.559,172.033,149.275,156.107,151.708,140.547,120.723,117.767,127.488,100.355
2/16/2010,104.685,107.119,109.052,126.975,120.733,104.697,115.821,113.941,100.355,113.335,172.732,238.491,236.603,214.287,192.061,204.299,262.499,294.231,279.055,236.152,219.084,207.94,196.335,176.643,160.412,167.222,162.901,147.509,146.668,162.908,156.107,156.074,168.914,185.272,178.37,178.347,186.969,187.832,175.749,172.461,149.198,160.322,154.453,129.512,114.005,100.302,104.731,102.955
2/17/2010,97.598,107.078,100.327,108.904,110.099,93.417,142.788,177.887,122.613,126.893,176.126,224.072,198.021,199.129,178.347,203.757,257.693,270.108,248.38,234.111,225.655,211.86,211.815,220.199,246.779,254.944,229.88,222.685,201.824,184.084,199.336,178.681,173.95,171.281,187.114,192.277,180.422,183.779,177.724,171.608,182.308,189.116,189.611,163.123,118.235,118.235,118.235,118.235
2/18/2010,119.849,122.565,122.565,122.565,122.565,122.565,136.957,161.637,161.637,161.637,161.637,161.637,168.005,199.461,221.826,200.653,229.525,278.685,270.212,252.174,249.809,239.919,224.2,228.817,204.746,211.86,213.891,217.375,203.044,182.47,189.492,189.559,185.282,186.384,200.911,194.472,184.035,186.057,189.52,193.568,196.441,181.066,171.172,158.393,114.756,100.319,100.355,100.334
2/19/2010,100.319,104.345,107.388,120.667,156.064,143.944,122.656,130.746,140.884,145.876,191.491,222.003,200.517,200.616,204.913,219.838,250.239,278.685,278.713,266.702,241.244,242.106,250.823,240.797,240.797,240.797,240.797,226.41,196.707,185.521,178.345,194.391,222.966,214.952,196.72,197.495,203.818,209.475,225.358,193.468,192.755,178.373,182.315,189.559,193.49,192.708,190.302,203.893
2/20/2010,197.408,219.777,218.29,189.491,193.511,216.47,241.277,226.269,211.818,215.723,223.01,222.966,262.267,314.847,274.777,267.516,267.612,271.485,274.741,271.533,282.627,278.064,248.632,226.289,215.692,223.01,215.153,196.237,188.139,188.139,188.139,188.139,188.139,188.139,188.139,184.709,189.996,215.744,211.321,193.368,192.953,190.001,219.526,234.161,226.376,207.917,204.575,219.591
2/21/2010,226.389,211.783,211.819,211.783,211.657,230.789,260.309,260.699,297.547,292.897,267.984,289.858,297.477,300.711,274.877,271.343,278.763,274.781,275.049,286.303,267.296,256.725,282.477,274.649,237.637,230.548,233.882,211.819,211.782,219.467,233.895,226.312,208.451,208.262,211.555,204.415,222.541,197.368,193.344,200.671,208.193,219.231,215.596,222.928,219.238,219.361,234.075,226.628
2/22/2010,211.82,219.302,226.64,253.159,315.622,271.255,256.414,252.619,249.059,260.16,256.289,245.386,278.781,289.746,275.083,297.326,315.828,235.722,61.311,82.718,125.426,125.426,125.426,187.689,312.156,286.124,237.871,237.89,215.478,196.759,185.901,182.277,189.488,200.653,215.577,204.327,204.476,193.214,196.949,189.559,193.208,193.275,178.31,189.269,204.671,193.232,197.001,189.488
2/23/2010,193.226,208.003,211.944,215.186,256.586,230.418,226.665,230.465,233.873,252.813,241.62,237.716,256.239,271.431,256.366,260.098,274.832,275.284,239.763,228.268,215.91,189.844,185.903,178.341,174.79,167.258,178.075,182.576,141.273,137.3,155.882,182.013,178.715,159.648,160.059,152.125,170.788,174.815,163.637,156.048,156.107,148.91,140.917,156.107,166.579,178.586,167.244,189.525
2/24/2010,185.919,178.408,178.376,178.341,178.408,178.376,203.231,235.127,189.525,182.388,174.357,193.073,200.633,221.969,253.399,222.926,223.01,215.9,182.927,151.737,160.116,141.763,137.331,141.408,133.755,123.25,103.873,107.969,93.292,78.054,78.04,81.53,89.204,85.684,81.524,89.204,89.189,92.664,96.861,89.189,89.17,96.179,114.971,126.09,133.806,133.783,137.23,141.481
2/25/2010,137.256,144.901,144.957,148.426,156.08,148.915,136.973,141.789,136.949,145.403,148.386,159.498,187.96,237.59,245.243,227.848,196.116,205.392,192.997,193.802,164.612,133.806,130.343,122.553,124.302,128.266,119.707,93.516,78.04,78.023,78.054,78.054,81.452,85.763,81.461,85.784,78.023,78.054,78.04,74.572,70.203,81.584,85.781,91.608,119.248,114.844,129.42,134.791
2/26/2010,121.59,148.333,159.455,160.404,151.615,160.648,141.43,153.602,184.359,171.827,217.282,178.408,181.576,209.251,250.259,233.927,237.131,242.444,227.4,201.726,186.808,206.227,204.578,204.042,211.824,208.451,204.036,185.186,129.176,141.749,130.465,129.236,141.642,137.096,141.592,137.114,138.341,125.942,133.754,143.711,157.33,137.049,144.957,151.52,167.192,167.258,167.066,170.218
2/27/2010,175.546,170.512,181.615,183.005,167.23,167.192,173.799,199.335,219.658,202.066,194.693,217.777,181.667,212.324,257.75,234.161,230.872,226.168,234.161,221.146,192.724,200.709,203.915,198.842,167.258,170.463,175.11,176.94,191,160.749,135.293,117.948,133.742,130.484,125.968,130.571,125.816,133.806,133.785,130.55,129.061,141.733,133.753,137.003,144.934,141.709,143.377,160.854
