Datetime,Electric,Water,Gas
2010-06-10,3177.499,10.308,919.817
2010-06-11,3217.146,9.914,1556.341
2010-06-12,2295.619,2.694,2037.907
2010-06-13,2177.891,2.698,2176.258
2010-06-14,3289.8849999999998,4.871,2695.397
2010-06-15,3034.601,9.620000000000001,2872.118
2010-06-16,3115.518,10.412,2604.695
2010-06-17,3104.448,11.108,2404.167
2010-06-18,3112.287,10.505,2783.947
2010-06-19,2032.216,2.432,2668.287
2010-06-20,2525.318,6.119,2150.765
2010-06-21,3057.03,6.718,1736.395
2010-06-22,3606.795,10.113,1631.301
2010-06-23,3565.078,10.289,1698.018
2010-06-24,4274.955,9.766,1772.574
2010-06-25,4065.362,7.389,1694.507
2010-06-26,2339.861,1.717,1557.567
2010-06-27,2277.407,1.081,1524.244
2010-06-28,3409.061,8.907,1661.29
2010-06-29,3484.657,8.517,1661.252
2010-06-30,3376.76,9.154,1644.412
2010-07-01,3260.664,8.022,1683.434
2010-07-02,3258.496,7.451,1636.164
2010-07-03,2748.069,4.022,1565.784
2010-07-04,2357.593,0.881,1625.126
2010-07-05,3527.955,10.091,1792.5529999999999
2010-07-06,3479.185,10.125,1837.339
2010-07-07,3494.757,15.385,1797.182
2010-07-08,3671.708,18.604,1672.302
2010-07-09,3514.949,10.211,1337.784
2010-07-10,2404.528,2.31,1493.891
2010-07-11,2137.067,1.712,1542.038
2010-07-12,3354.482,11.051,1659.291
2010-07-13,3026.861,10.865,1638.752
2010-07-14,3278.284,11.044,1458.86
2010-07-15,3214.605,8.373,1570.548
2010-07-16,2980.275,10.68,1560.809
2010-07-17,2250.347,1.736,1730.636
2010-07-18,2208.392,2.368,1692.279
2010-07-19,3335.386,23.224,1315.577
2010-07-20,3447.172,20.206,1105.566
2010-07-21,3342.61,10.853,1192.674
2010-07-22,3330.632,9.369,1515.361
2010-07-23,3187.068,8.606,1593.664
2010-07-24,2275.466,2.057,1684.1019999999999
2010-07-25,2194.389,1.153,1593.782
2010-07-26,3298.838,16.059,1427.081
2010-07-27,3278.88,18.457,1438.228
2010-07-28,3220.172,13.375,1583.379
2010-07-29,3190.582,15.116999999999999,1616.744
2010-07-30,3104.146,14.438,1649.744
2010-07-31,2134.628,7.636,1728.126
2010-08-01,1823.691,6.867,1627.872
2010-08-02,2780.865,19.044,1516.284
2010-08-03,3020.132,18.019,1076.873
2010-08-04,3125.939,12.874,950.783
2010-08-05,2882.798,14.745,713.632
2010-08-06,2897.685,15.18,46.848
2010-08-07,2108.242,7.157,46.848
2010-08-08,1878.478,7.0440000000000005,46.848
2010-08-09,2828.733,19.305,46.848
2010-08-10,3071.56,5.233,1183.474
2010-08-11,3247.059,7.685,1692.398
2010-08-12,3234.944,0.24,1762.511
2010-08-13,3228.341,6.955,1741.676
2010-08-14,2265.913,6.11,1991.621
2010-08-15,2125.32,7.227,1707.038
2010-08-16,3256.878,19.748,1661.077
2010-08-17,3335.898,19.399,1581.349
2010-08-18,3246.822,16.863,1751.912
2010-08-19,3318.667,16.314,1740.9470000000001
2010-08-20,3470.983,9.802,1415.75
2010-08-21,2401.366,1.178,1538.5819999999999
2010-08-22,2202.55,0.722,1607.513
2010-08-23,3313.733,2.276,1701.4
2010-08-24,3244.943,2.726,1850.633
2010-08-25,3322.783,5.655,1962.1200000000001
2010-08-26,3464.078,2.201,2093.432
2010-08-27,3205.485,1.669,1875.394
2010-08-28,1858.183,0.025,1970.597
2010-08-29,1833.425,0.0,2015.009
2010-08-30,2087.875,0.045,1897.892
2010-08-31,2839.468,3.323,1786.577
2010-09-01,3069.779,13.323,1745.203
2010-09-02,3234.279,12.174,1691.511
2010-09-03,3303.971,12.947,1732.771
2010-09-04,2374.401,0.8059999999999999,1801.423
2010-09-05,2367.341,0.843,1739.204
2010-09-06,3639.029,12.462,1728.0529999999999
2010-09-07,3708.434,3.081,1679.845
2010-09-08,3720.376,12.409,1698.213
2010-09-09,3692.245,13.56,1646.205
2010-09-10,3565.072,11.341,1557.31
2010-09-11,2434.631,1.705,1668.416
2010-09-12,2199.957,1.637,1873.007
2010-09-13,3485.589,13.377,1750.3029999999999
2010-09-14,3536.531,12.015,1574.656
2010-09-15,3634.965,14.995000000000001,2022.108
2010-09-16,3622.469,14.949,1968.828
2010-09-17,3437.434,11.078,2078.061
2010-09-18,2515.35,2.6590000000000003,2223.206
2010-09-19,2551.145,4.375,2006.818
2010-09-20,3513.625,10.588,1651.546
2010-09-21,3565.516,12.862,1716.715
2010-09-22,3561.292,14.078,1687.089
2010-09-23,3550.432,13.807,1717.972
2010-09-24,3466.433,6.448,1966.0339999999999
2010-09-25,2445.6059999999998,11.518,2376.032
2010-09-26,2256.624,9.624,2464.399
2010-09-27,3484.84,20.618,2463.7980000000002
2010-09-28,3471.388,17.758,2179.339
2010-09-29,3401.339,14.873000000000001,1351.365
2010-09-30,3303.319,11.627,1527.532
2010-10-01,3180.461,9.777,2310.396
2010-10-02,2169.323,0.176,2553.003
2010-10-03,2031.089,1.046,2329.964
2010-10-04,3747.121,7.702,2363.469
2010-10-05,3768.672,22.275,2393.146
2010-10-06,3981.868,20.076999999999998,2289.141
2010-10-07,4232.015,23.753,2588.058
2010-10-08,4073.688,21.408,1810.73
2010-10-09,2993.377,7.796,2245.523
2010-10-10,2516.361,3.309,2274.244
2010-10-11,4154.4439999999995,24.911,2891.887
2010-10-12,4002.3,25.469,3257.949
2010-10-13,3850.167,20.369,3408.922
2010-10-14,4263.351,25.077,3255.273
2010-10-15,3826.881,19.851,2809.478
2010-10-16,2427.339,3.177,2924.187
2010-10-17,2584.928,1.982,3965.69
2010-10-18,4360.741,24.407,3456.09
2010-10-19,4596.255,19.993,3931.922
2010-10-20,4467.229,20.388,5023.578
2010-10-21,4682.264,24.563,4679.833
2010-10-22,4129.826,18.426,3597.58
2010-10-23,2898.813,4.846,3367.098
2010-10-24,2467.178,1.231,4273.316
2010-10-25,4554.521,25.102999999999998,5521.966
2010-10-26,4611.068,25.008,4724.205
2010-10-27,4070.976,21.313,2842.821
2010-10-28,4387.083,26.032,2895.787
2010-10-29,4175.641,20.75,3046.295
2010-10-30,2758.08,5.54,3132.737
2010-10-31,2682.936,7.907,3121.587
2010-11-01,4429.136,27.578,3155.028
2010-11-02,4437.871,25.062,3152.7400000000002
2010-11-03,4213.521,22.888,2695.737
2010-11-04,4437.633,28.355,2019.829
2010-11-05,4108.513,21.712,2486.248
2010-11-06,2773.902,9.402,3110.526
2010-11-07,2362.655,3.932,3803.65
2010-11-08,4575.1,12.565,6000.144
2010-11-09,4583.914,21.997,5104.61
2010-11-10,4411.941,22.202,6472.876
2010-11-11,4430.751,25.545,4311.304
2010-11-12,4097.861,21.877,4010.836
2010-11-13,2636.384,4.87,4068.121
2010-11-14,2685.39,3.433,4765.336
2010-11-15,4549.837,20.179,6055.991
2010-11-16,4707.329,21.318,6038.673
2010-11-17,4548.2880000000005,18.526,5596.903
2010-11-18,4719.21,23.108,5039.338
2010-11-19,4278.776,17.308,5221.131
2010-11-20,2799.321,2.882,5203.254
2010-11-21,2533.994,3.029,5128.459
2010-11-22,4364.147,22.505,6031.104
2010-11-23,4412.547,23.748,6212.287
2010-11-24,4599.226,21.019,7592.31
2010-11-25,4690.11,24.314,8038.411
2010-11-26,4372.154,18.303,8484.289
2010-11-27,2813.141,5.457,6401.327
2010-11-28,2892.862,1.979,6998.88
2010-11-29,5129.521,24.941,9142.77
2010-11-30,5025.607,22.495,8662.434
2010-12-01,4630.325,19.63,8997.398
2010-12-02,4980.478,21.632,8979.1
2010-12-03,4743.531,18.135,9515.566
2010-12-04,2998.235,4.355,6534.465
2010-12-05,2700.631,4.9110000000000005,7740.345
2010-12-06,4747.139,23.375,9459.504
2010-12-07,4846.4220000000005,29.271,9459.504
2010-12-08,4742.815,25.047,9282.1
2010-12-09,4898.658,24.574,7745.814
2010-12-10,4327.722,20.791,5463.968
2010-12-11,3030.539,8.514,4240.742
2010-12-12,2951.125,4.578,6815.493
