Datetime,Electric,Water,Gas,temp,dew_point,pressure,humidity,wind_speed
2018-02-27,2729.75,6.835,8898.113,-1.9408333333333332,-3.4525,1025.7916666666667,88.20833333333333,3.7112499999999997
2018-02-28,2785.5,7.465,9656.342,-4.48625,-5.873333333333334,1018.3333333333334,88.875,5.440833333333334
2018-03-01,2837.0,8.25,10269.619,-3.8366666666666664,-5.527083333333334,1004.875,86.625,8.986666666666666
2018-03-02,2751.25,10.31,10269.619,-1.5970833333333332,-3.3341666666666665,995.7083333333334,86.5,9.377083333333333
2018-03-03,2009.125,0.979,646.735,-0.7645833333333334,-1.0574999999999999,993.9583333333334,97.66666666666667,6.375
2018-03-04,2064.125,0.968,1126.206,3.1208333333333336,2.7254166666666664,989.125,97.29166666666667,3.953333333333333
2018-03-05,2964.0,8.25,10035.459,5.685416666666666,4.446666666666666,987.375,92.08333333333333,4.2675
2018-03-06,2971.25,9.165,6389.246,5.665416666666666,3.3775,987.0833333333334,85.875,3.4287500000000004
2018-03-07,2875.25,8.475,6244.286,4.368333333333333,1.6762499999999998,993.375,83.875,2.9920833333333334
2018-03-08,2955.75,8.39,5976.674,4.505416666666666,2.1041666666666665,994.25,85.125,5.715833333333333
2018-03-09,2813.25,9.324,5318.794,4.6187499999999995,3.4445833333333336,1000.5833333333334,92.45833333333333,3.4875000000000003
2018-03-10,2044.75,3.43,89.207,10.160416666666666,9.18375,992.7083333333334,93.75,5.229166666666667
2018-03-11,2136.5,8.699,78.057,7.395,5.98125,991.25,91.20833333333333,3.8295833333333333
2018-03-12,2910.25,11.808,6712.607,6.16125,5.7075,990.0,96.91666666666667,4.580416666666667
2018-03-13,2801.5,10.86,5240.743,6.7124999999999995,4.0129166666666665,1006.2083333333334,83.625,2.8220833333333335
2018-03-14,2757.5,9.119,4817.023,7.27625,3.829166666666667,1001.0833333333334,79.58333333333333,6.683333333333334
2018-03-15,2802.5,10.01,4415.605,8.185833333333333,6.6379166666666665,989.0416666666666,90.16666666666667,5.523333333333333
2018-03-16,2672.5,8.343,4125.695,7.5320833333333335,4.948333333333333,997.9583333333334,84.83333333333333,4.157916666666666
2018-03-17,2311.0,4.729,5173.839,-0.2016666666666667,-2.32375,1009.25,84.375,8.209583333333333
2018-03-18,1915.0,0.935,613.282,-1.4100000000000001,-3.6879166666666667,1011.625,82.75,7.908333333333334
2018-03-19,2609.5,5.744,11016.701,1.3504166666666668,-3.702083333333333,1018.4583333333334,67.08333333333333,7.027916666666666
2018-03-20,2699.25,5.019,8206.778,3.8204166666666666,0.5920833333333334,1029.6666666666667,79.95833333333333,4.666666666666667
