Datetime,value,temp,dew_point,pressure,humidity,wind_speed
2019-07-30,2917.0,17.605416666666667,14.159583333333332,1003.5,80.41666666666667,5.0841666666666665
2019-07-31,2900.0,16.568749999999998,13.932083333333333,1010.2083333333334,84.5,6.867916666666667
2019-08-01,2835.0,18.395,15.090416666666668,1017.1666666666666,81.45833333333333,3.3016666666666663
2019-08-02,2686.0,18.277916666666666,14.292499999999999,1019.6666666666666,78.16666666666667,2.5220833333333332
2019-08-03,1933.0,18.55333333333333,14.35875,1018.5416666666666,77.54166666666667,2.215
2019-08-04,1915.001,19.862083333333334,15.539583333333333,1012.5416666666666,76.91666666666667,3.2891666666666666
2019-08-05,2793.0,18.3625,13.133333333333333,1008.25,72.54166666666667,4.74125
2019-08-06,2921.0,17.45,13.284999999999998,1005.4583333333334,77.0,5.875416666666666
2019-08-07,2819.001,17.530416666666667,12.289166666666667,1004.6666666666666,72.25,5.40625
2019-08-08,2828.0,18.37333333333333,12.88375,1008.5833333333334,71.5,3.001666666666667
2019-08-09,2699.0,19.074166666666667,15.53125,998.4583333333334,80.29166666666667,6.711666666666666
2019-08-10,2007.5,17.654166666666665,13.814166666666667,999.4166666666666,78.5,9.47375
2019-08-11,1894.5,15.892916666666666,12.275,1008.75,79.29166666666667,5.79375
2019-08-12,2554.0,14.257083333333334,9.238333333333333,1014.125,72.66666666666667,3.2045833333333333
2019-08-13,2700.0,14.857916666666666,9.096666666666666,1016.3333333333334,69.45833333333333,3.4758333333333336
2019-08-14,2941.0,14.988750000000001,13.067083333333334,1010.125,88.45833333333333,4.7629166666666665
2019-08-15,2663.999,15.835416666666667,11.444583333333334,1010.9166666666666,75.75,5.71875
2019-08-16,2771.0,15.100833333333334,12.231250000000001,1008.0,83.0,6.620833333333334
2019-08-17,1883.0,16.698333333333334,11.338333333333333,1002.3333333333334,71.79166666666667,6.02625
2019-08-18,1893.0,15.967083333333333,11.51375,1003.25,75.95833333333333,5.84375
2019-08-19,2823.999,15.253750000000002,10.732083333333334,1012.125,74.83333333333333,4.916250000000001
2019-08-20,2774.0,14.959166666666667,9.672083333333333,1021.625,71.70833333333333,3.887083333333333
2019-08-21,2772.999,16.634583333333335,11.269166666666665,1024.8333333333333,71.54166666666667,4.287083333333333
2019-08-22,2786.0,17.560416666666665,13.354166666666666,1022.7916666666666,76.58333333333333,5.694583333333333
2019-08-23,2623.0,19.235,14.652916666666668,1023.0833333333334,75.45833333333333,2.7616666666666667
2019-08-24,1804.001,20.518333333333334,13.234166666666667,1018.875,65.5,2.5145833333333334
2019-08-25,1801.0,22.679583333333337,14.698333333333332,1017.5416666666666,63.291666666666664,2.752083333333333
